ref_line	ref_widx	lemma	n_readings	apparatus	omit
548	3143	βίος	2	βίος [dain,dawe,hermann,jebb,pearson,reinhardt,storr]  |  βίου [colonna]	
548	3147	φίλος;	2	φίλος; [dain,dawe,hermann,jebb,pearson,reinhardt,storr]  |  πόθος; [colonna]	
551	3164	γελῶ	2	γέλωτ᾽ [colonna,dain,hermann,pearson,reinhardt]  |  γελῶ [dawe,jebb,storr]	
571	3313	υἱέσι	2	υἱέσι [colonna,dain,dawe,hermann,jebb,pearson,storr]  |  υἱέσιν [reinhardt]	
572	3317	Αἷμον,	2	Αἵμων, [colonna,dain,dawe,hermann]  |  Αἷμον, [jebb,pearson,reinhardt,storr]	
573	3323	γε	2	γε [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  με [dawe]	
575	3344	ἔφυ.	2	ἐμοί. [colonna,dain,jebb,reinhardt]  |  ἔφυ. [dawe,hermann,pearson,storr]	
578	3362	ἐκ	3	ἐκ [colonna,dawe,hermann,jebb,storr]  |  ἐκδέτους [pearson,reinhardt]  |  ἐκδέτας [dain]	
581	3381	εἰσορῶσι	2	εἰσορῶσι [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  εἰρορῶσι [hermann]	
586	3404	ποντίαις	3	πόντιον [colonna,pearson,reinhardt]  |  ποντίαις [hermann,jebb,storr]  |  ποντίας [dain]	
587	3408	Θρῄσσαισιν	3	Θρῄσσαισιν [jebb,pearson,reinhardt,storr]  |  Θρήσσῃσιν [colonna,hermann]  |  Θρῄσσῃσιν [dain,dawe]	
591	3418	δυσάνεμοι,	3	δυσάνεμοι [colonna,dain,jebb,pearson,reinhardt,storr]  |  δυσανέμωι [dawe]  |  δυσάνεμον, [hermann]	
591	3420	βρέμουσι	2	βρέμουσιν [colonna,dain,dawe,jebb,pearson,reinhardt]  |  βρέμουσι [hermann,storr]	
595	3430	φθιτῶν	2	φθιμένων [colonna,dain,pearson,reinhardt]  |  φθιτῶν. [hermann,jebb,storr]	
597	3448	ὕπερ	2	ὑπὲρ [colonna,dawe,jebb,pearson,reinhardt,storr]  |  ὅπερ [dain,hermann]	
600	3450	ὃ	2	ἐτέτατο [colonna,dain,hermann,pearson]  |  ὃ [dawe,jebb,reinhardt,storr]	
602	3464	κόνις	2	κόνις, [colonna,dain,hermann,jebb,storr]  |  κοπίς, [dawe,pearson,reinhardt]	
602	3470	ἐρινύς.	2	Ἐρινύς. [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  Ἐριννύς, [hermann]	
605	3473	δύνασιν	2	δύνασιν [colonna,dawe,hermann,jebb,pearson,reinhardt,storr]  |  δύναμιν [dain]	
605	3475	ἀνδρῶν	2	ἀν- [colonna,dain,dawe,pearson,reinhardt]  |  ἀνδρῶν [hermann,jebb,storr]	
606	3478	τὰν	2	τὰν [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  τὸν [hermann]	
606	3484	πάντʼ	3	παντογήρως, [colonna,dawe,hermann,pearson,reinhardt]  |  πάντ᾽ [jebb,storr]  |  πάντα [dain]	
606	3485	ἀγρεύων,	3	οὔτ᾽ [colonna,hermann,pearson,reinhardt]  |  ἀγρεύων, [jebb,storr]  |  κηλῶν, [dain]	
607	3486	οὔτε	4	ἀκάματοι [colonna,pearson,reinhardt]  |  οὔτ’ [dain,dawe]  |  οὔτε [jebb,storr]  |  ἀκάματον [hermann]	
607	3487	θεῶν	2	θεῶν [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  ἐτέων [dawe]	
607	3490	ἀγήρῳ	2	ἀγήρως [colonna,dain,dawe,jebb,pearson,reinhardt]  |  ἀγήρῳ [hermann,storr]	
613	3511	ἕρπει	2	ἕρπει [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  ἕρπειν [hermann]	
614	3515	γʼ	2	γ᾽ [colonna,dain,dawe,hermann,jebb,pearson,storr]  |  πάμπολις [reinhardt]	
615	3522	ἐλπὶς	2	ἐλ- [colonna,dain,dawe,pearson,reinhardt]  |  ἐλπὶς [hermann,jebb,storr]	
615	3525	ὄνασις	2	ὄνασις [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  ὄνησις [dawe]	
620	3541	προσαύσῃ.	2	προσαύσῃ. [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  προσαύρῃ. [hermann]	
625	3564	ὀλίγιστον	2	ὀλίγιστον [dawe,jebb,pearson,reinhardt,storr]  |  ὀλιγοστὸν [colonna,dain,hermann]	
630	3582	ἀπάτης	2	ἀπάτας [colonna,dain,hermann,jebb,reinhardt]  |  ἀπάτης [dawe,pearson,storr]	
635	3613	μοι	2	μοι [colonna,dain,hermann,jebb,pearson,reinhardt,storr]  |  που [dawe]	
637	3624	ἀξιώσεται	2	ἀξιώσεται [dain,dawe,jebb,pearson,reinhardt,storr]  |  ἀξίως [colonna,hermann]	
654	3730	νυμφεύειν	2	νυμφεύειν [colonna,dain,dawe,jebb,pearson,reinhardt,storr]  |  νυμφεύσειν [hermann]	
