# work: tlg0011.tlg007
# base (canonical axis): perseus-grc2
# target: campbell1879-grc1
# generated: 2026-09-02  method: exact anchors plus local sequence alignment
base	target	type	score	review
639	639	match	0.970	
640	640	match	0.983	
641	641	exact	1.000	
642	642	exact	1.000	
643	643	exact	1.000	
644	644	exact	1.000	
645	645	exact	1.000	
646	646	exact	1.000	
647	647	exact	1.000	
648	648	exact	1.000	
649	649	exact	1.000	
650	650	exact	1.000	
651	651	exact	1.000	
652	652	match	0.963	
652a	652a	exact	1.000	
653	653	exact	1.000	
653a	653a	exact	1.000	
654	654	exact	1.000	
654a	654a	exact	1.000	
655	655	exact	1.000	
655a	655a	match	0.923	
656	656	exact	1.000	
656a	656a	exact	1.000	
657	657	exact	1.000	
658	658	exact	1.000	
659	659	exact	1.000	
660	660	exact	1.000	
661	661	exact	1.000	
662	662	exact	1.000	
663	663	exact	1.000	
664	664	match	0.847	
665	665	exact	1.000	
666	666	exact	1.000	
667	667	exact	1.000	
668	668	exact	1.000	
669	669	exact	1.000	
670	670	exact	1.000	
671	671	exact	1.000	
672	672	exact	1.000	
673	673	exact	1.000	
674	674	match	0.933	
675	675	exact	1.000	
676	676	exact	1.000	
677	677	exact	1.000	
678	678	exact	1.000	
679	679	exact	1.000	
680	680	match	0.978	
681	681	exact	1.000	
682	682	exact	1.000	
683	683	exact	1.000	
684	684	exact	1.000	
685	685	exact	1.000	
686	686	exact	1.000	
687	687	exact	1.000	
688	688	exact	1.000	
689	689	exact	1.000	
690	690	exact	1.000	
691	691	exact	1.000	
692	692	match	0.960	
693	693	match	0.971	
695	694	exact	1.000	
696	695	exact	1.000	
697	696	exact	1.000	
698	697	exact	1.000	
700	700	exact	1.000	
701	701	exact	1.000	
702	702	match	0.958	
703	703	match	0.899	
705	705	exact	1.000	
706	706	exact	1.000	
707	707	exact	1.000	
710	708	match	0.935	
711	711	exact	1.000	
712	712	exact	1.000	
713	713	exact	1.000	
715	714	exact	1.000	
716	715	exact	1.000	
717	716	exact	1.000	
718	717	exact	1.000	
719	718	exact	1.000	
720	720	exact	1.000	
721	721,722	split_merge	0.811	
722	722a	exact	1.000	
722a		base_only	0.000	REVIEW
723	723	exact	1.000	
724	724	exact	1.000	
725	725	exact	1.000	
726	726	exact	1.000	
727	727	match	0.982	
728	728	exact	1.000	
729	729	exact	1.000	
730	730	exact	1.000	
731	731	exact	1.000	
732	732	exact	1.000	
733	733	exact	1.000	
734	734	exact	1.000	
735	735	match	0.969	
736	736	exact	1.000	
737	737	exact	1.000	
738	738	exact	1.000	
739	739	exact	1.000	
740	740	exact	1.000	
741	741	exact	1.000	
742	742	exact	1.000	
743	743	exact	1.000	
744	744	exact	1.000	
745	745	exact	1.000	
746	746	exact	1.000	
747	747	exact	1.000	
748	748	exact	1.000	
749	749	exact	1.000	
750	750	exact	1.000	
751	751	exact	1.000	
752	752	exact	1.000	
753	753	exact	1.000	
754	754	match	0.983	
755	755	match	0.970	
756	756	exact	1.000	
757	757	exact	1.000	
758	758	exact	1.000	
759	759	exact	1.000	
760	760	exact	1.000	
761	761	match	0.967	
762	762	exact	1.000	
763	763	exact	1.000	
764	764	exact	1.000	
765	765	exact	1.000	
766	766	exact	1.000	
767	767	exact	1.000	
768	768	exact	1.000	
769	769	exact	1.000	
770	770	exact	1.000	
771	771	exact	1.000	
772	772	exact	1.000	
773	773	exact	1.000	
774	774	exact	1.000	
775	775	exact	1.000	
776	776	exact	1.000	
777	777	exact	1.000	
778	778	exact	1.000	
779	779	exact	1.000	
780	780	exact	1.000	
781	781	exact	1.000	
782	782	exact	1.000	
783	783	exact	1.000	
784	784	match	0.984	
785	785	exact	1.000	
786	786	match	0.935	
787	787	exact	1.000	
788	788	exact	1.000	
789	789	exact	1.000	
790	790	exact	1.000	
791	791	exact	1.000	
792	792	match	0.949	
793	793	exact	1.000	
794	794	exact	1.000	
795	795	exact	1.000	
796	796	exact	1.000	
797	797	exact	1.000	
798	798	exact	1.000	
799	799	exact	1.000	
800	800	exact	1.000	
801	801	match	0.969	
802	802	exact	1.000	
803	803	exact	1.000	
804	804	exact	1.000	
805	805	exact	1.000	
806	806	match	0.971	
807	807	exact	1.000	
808	808	exact	1.000	
809	809	exact	1.000	
810	810	exact	1.000	
811	811	exact	1.000	
812	812	exact	1.000	
813	813	exact	1.000	
814	814	exact	1.000	
815	815	exact	1.000	
816	816	match	0.929	
817	817	exact	1.000	
818	818	exact	1.000	
819	819	exact	1.000	
820	820	exact	1.000	
820a	820a	exact	1.000	
821	821	exact	1.000	
821a	822	exact	1.000	
822	823	exact	1.000	
823	824	exact	1.000	
824	825	exact	1.000	
825	826	exact	1.000	
826	827	exact	1.000	
827	828	match	0.982	
828	829	exact	1.000	
829	830	exact	1.000	
829a	830a	exact	1.000	
830	831	exact	1.000	
831	832	exact	1.000	
831a	832a	exact	1.000	
832	833	exact	1.000	
832a,832b	833a	split_merge	0.955	
	834	target_only	0.000	REVIEW
833	834a	exact	1.000	
834	835	exact	1.000	
835	836	exact	1.000	
835a	836a	exact	1.000	
836	837	exact	1.000	
837	838	exact	1.000	
837a	838a	exact	1.000	
838	839	exact	1.000	
838a	839a	exact	1.000	
840	840	exact	1.000	
840a	840a	exact	1.000	
841	841	exact	1.000	
842	842,843	split_merge	1.000	
843	844	exact	1.000	
844	845	exact	1.000	
844a	845a	exact	1.000	
