ref_line	ref_widx	lemma	n_readings	apparatus	omit
156	853	ἄρχων	6	⟨gap⟩ [brown,dawe,griffith,hermann,pearson]  |  θεῶν [benloew,bothe]  |  ἄρχων [colonna,storr]  |  νέον [boeckh]  |  ταγὸσ [dain]  |  σὺ [jebb]	reinhardt
157	855	νεαραῖσι	2	νεαραῖσι [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  νεαραῖς [benloew,bothe]	
168	910	κἀπεὶ	2	κἀπεὶ [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  κᾀπεὶ [bothe]	
168	914	κείνων	2	κείνων [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  κείνου [bothe]	
180	984	ἐγκλῄσας	2	ἐγκλήισας [brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  ἐγκλείσας [benloew,boeckh,bothe,hermann]	
182	995	ὅστις	2	ὅστις [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  εἴ [bothe]	
187	1030	χθονὸς	2	χθονὸς [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,storr]  |  πόλεως [reinhardt]	
189	1039	σῴζουσα	2	σώιζουσα, [brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  σώζουσα, [benloew,boeckh,bothe,hermann]	
190	1045	τοὺς	2	τοὺς [benloew,boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  οὓς [bothe]	
191	1048	τοιοῖσδʼ	2	τοιοῖσδ᾽ [boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  τοιοῖς [benloew]	
195	1075	δόρει,	2	δορὶ, [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt]  |  δόρει, [storr]	
196	1082	ἀφαγνίσαι	2	ἐφαγνίσαι, [benloew,boeckh,bothe,brown,colonna,dawe,griffith,hermann,jebb,lj,reinhardt]  |  ἀφαγνίσαι [dain,pearson,storr]	
198	1094	Πολυνείκη	2	Πολυνείκην [benloew,boeckh,bothe,brown,colonna,dain,dawe,griffith,hermann,jebb]  |  Πολυνείκη [lj,pearson,reinhardt,storr]	
201	1108	πρῆσαι	2	πρῆσαι [benloew,boeckh,bothe,brown,colonna,dain,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  πέρσαι [dawe]	
201	1109	κατʼ	2	κατάκρας, [benloew,boeckh,bothe,colonna,dain,hermann,pearson,reinhardt]  |  κατ᾽ [brown,dawe,griffith,jebb,lj,storr]	
203	1123	ἐκκεκήρυκται	2	ἐκκεκήρυκται [bothe,brown,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  ἐκκεκηρῦχθαι [benloew,boeckh,colonna,hermann]	
205	1130	ἐᾶν	2	ἐᾶν [boeckh,brown,colonna,dain,dawe,griffith,hermann,jebb,lj,pearson,reinhardt,storr]  |  ἐᾷν [benloew,bothe]	
206	1141	αἰκισθέν	3	αἰκισθέν [brown,colonna,dain,dawe,griffith,jebb,lj,pearson,reinhardt,storr]  |  αἰκισθέντ᾽ [benloew,boeckh,hermann]  |  αἰκιστόν [bothe]	
208	1151	τιμὴν	2	τιμὴν [benloew,boeckh,bothe,colonna,dain,hermann,storr]  |  τιμῆι [brown,dawe,griffith,jebb,lj,pearson,reinhardt]	
