# work: tlg0011.tlg002
# base (canonical axis): perseus-grc2
# target: bothe1806-grc1
# generated: 2026-08-30  method: exact anchors plus local sequence alignment
base	target	type	score	review
993	974	exact	1.000	
994	975	match	0.971	
995	976	exact	1.000	
996	977	exact	1.000	
997	978	match	0.983	
998	979	exact	1.000	
999	980	exact	1.000	
1000	981	match	0.982	
1001	982	match	0.982	
1002	983	exact	1.000	
1003	984	match	0.985	
1004	985	exact	1.000	
1005	986	exact	1.000	
1006	987	exact	1.000	
1007	988	match	0.983	
1008	989	exact	1.000	
1009	990	exact	1.000	
1010	991	exact	1.000	
1011	992	exact	1.000	
1012	993	match	0.984	
1013	994	match	0.983	
1014	995	match	0.982	
1015	996	exact	1.000	
1016	997	exact	1.000	
1017	998	match	0.984	
1018	999	exact	1.000	
1019	1000	match	0.983	
1020	1001	match	0.981	
1021	1002	match	0.984	
1022	1003	exact	1.000	
1023	1004	match	0.986	
1024	1005	exact	1.000	
1025	1006	match	0.885	
1026	1007	match	0.983	
1027	1008	match	0.873	
1028	1009	match	0.982	
1029	1010	match	0.963	
1030	1011	match	0.985	
1031	1012	match	0.968	
1032	1013	match	0.900	
1033	1014	exact	1.000	
1034	1015	match	0.984	
1035	1016	match	0.847	
1036	1017	match	0.967	
1037	1018	match	0.900	
1038	1019	exact	1.000	
1039	1020	match	0.983	
1040	1021	match	0.967	
1041	1022	exact	1.000	
1042	1023	match	0.982	
1043	1024	match	0.984	
1044	1025	exact	1.000	
1045	1026	match	0.984	
1046	1027	match	0.972	
1047	1028	exact	1.000	
1048	1029	exact	1.000	
1048a	1030	match	0.983	
1049	1031	exact	1.000	
1050	1032	match	0.964	
1051	1033	exact	1.000	
1052	1034	exact	1.000	
1053	1035	exact	1.000	
1054	1036	exact	1.000	
1055	1037	exact	1.000	
1056	1038	match	0.985	
1057	1039	match	0.984	
1058	1040	match	0.969	
1059	1041	exact	1.000	
1060	1042	exact	1.000	
1061	1043	match	0.983	
1062	1044	exact	1.000	
1063	1045	match	0.982	
1064	1046	match	0.983	
1065	1047	match	0.947	
1066	1048	exact	1.000	
1067	1049	exact	1.000	
1068	1050	match	0.982	
1069	1051	match	0.893	
1070	1052	match	0.982	
1071	1053	exact	1.000	
1072	1054	exact	1.000	
1073	1055	match	0.982	
1074	1056	exact	1.000	
1075	1057	match	0.981	
1076	1058	exact	1.000	
1077	1059	match	0.984	
1078	1060	exact	1.000	
1079	1061	exact	1.000	
1080	1062	match	0.954	
1081	1063	match	0.947	
1082	1064	exact	1.000	
1083	1065	exact	1.000	
1084	1066	exact	1.000	
1085	1067	exact	1.000	
1086	1068	exact	1.000	
1087	1069	match	0.983	
1088	1070	exact	1.000	
1089	1071	match	0.955	
1090	1072	match	0.939	
1091	1073	match	0.963	
1092	1074	match	0.982	
1093	1075	match	0.984	
1094	1076	match	0.984	
1095	1077	exact	1.000	
1096	1078	match	0.954	
1097	1079	exact	1.000	
1098	1080	match	0.881	
1099	1081	match	0.984	
1100	1082	exact	1.000	
1101	1083	exact	1.000	
1102	1084	match	0.986	
1103	1085	match	0.984	
1104	1086	exact	1.000	
1105	1087	match	0.984	
1106	1088	match	0.982	
1107	1089	match	0.939	
1108	1090	match	0.847	
1109	1091	match	0.968	
1110	1092	match	0.982	
1111	1093	match	0.963	
1112	1094	match	0.982	
1113	1095	exact	1.000	
1114	1096	exact	1.000	
1115	1097,1098	split_merge	0.866	
1116	1099	match	0.562	REVIEW
1117	1100	match	0.865	
1118	1101	match	0.933	
1119	1102	exact	1.000	
1120	1103	match	0.851	
1121	1104	match	0.649	
1122	1105	match	0.350	REVIEW
1125	1106	match	0.719	
1126	1107	match	0.769	
1127	1108,1109	split_merge	0.655	
1128	1110	match	0.850	
1130	1111	exact	1.000	
1131	1112	exact	1.000	
1132	1113	match	0.913	
1133	1114	match	0.900	
1134	1115	match	0.706	
1135	1116	match	0.828	
1137	1117,1118	split_merge	0.900	
1138	1119	exact	1.000	
1140	1120	match	0.889	
1141	1121	match	0.522	REVIEW
1142	1122	match	0.548	REVIEW
1145	1123	exact	1.000	
1146	1124,1125	split_merge	0.794	
1147	1126	exact	1.000	
1148	1127	match	0.824	
1150	1128	match	0.735	
1151	1129	match	0.537	REVIEW
1152	1130	exact	1.000	
1155	1131	exact	1.000	
1156	1132	match	0.969	
1157	1133	match	0.968	
1158	1134	exact	1.000	
1159	1135	match	0.984	
1160	1136	exact	1.000	
1161	1137	exact	1.000	
1162	1138	exact	1.000	
1163	1139	match	0.964	
1164	1140	match	0.967	
1165	1141	exact	1.000	
1166	1142	match	0.982	
1167	1143	match	0.985	
1168	1144	match	0.985	
1169	1145	match	0.966	
1170	1146	match	0.985	
1171	1147	exact	1.000	
1172	1148	match	0.969	
1173	1149	exact	1.000	
1174	1150	match	0.984	
1175	1151	match	0.984	
1176	1152	exact	1.000	
1177	1153	exact	1.000	
1178	1154	match	0.982	
1179	1155	match	0.983	
1180	1156	exact	1.000	
1181	1157	exact	1.000	
1182	1158	match	0.962	
1183	1159	match	0.847	
1184	1160	exact	1.000	
1185	1161	exact	1.000	
1186	1162	match	0.909	
1187	1163	match	0.983	
1188	1164	match	0.982	
1189	1165	exact	1.000	
1190	1166	match	0.982	
1191	1167	match	0.984	
1192	1168	match	0.846	
1193	1169	exact	1.000	
1194	1170	match	0.984	
1195	1171	match	0.933	
1196	1172	match	0.962	
1197	1173	match	0.966	
1198	1174	exact	1.000	
1199	1175	exact	1.000	
1200	1176	match	0.985	
1201	1177	match	0.984	
1202	1178	exact	1.000	
1203	1179	exact	1.000	
1204	1180	exact	1.000	
1205	1181	match	0.984	
1206	1182	match	0.982	
1207	1183	exact	1.000	
1208	1184	exact	1.000	
1209	1185	match	0.931	
1210	1186	match	0.984	
1211	1187	exact	1.000	
1212	1188	match	0.982	
1213	1189	exact	1.000	
